society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
BPTP Freedom Park Life,250,11111,3,3,3,9,,Moderately Old,3, Sector 57 Gurgaon,15,0,0,0,0,,,2250,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022500225
Godrej Habitat,110,10410,2,2,2,14,,Under Construction,2, Sector 3 Gurgaon,17,0,0,0,0,,,1056.58,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010566763
Ramsons Kshitij,29,5178,2,2,2,14,,Relatively New,2, Sector 95 Gurgaon,14,0,0,0,0,,,560,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005600618
Sidhartha NCR One,55,5556,2,2,3,15,North-East,Undefined,2, Sector 95 Gurgaon,20,0,0,0,0,950,990,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009899208
Raheja Sampada,65,4744,3,2,3,6,North-East,Relatively New,3, Sector 92 Gurgaon,14,0,0,0,0,,,1370,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,28,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013701518
Signature The Serenas,50,9406,2,2,2,6,,New Property,2, Sohna,14,0,0,0,0,531.57,,,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,20,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005315756
Pareena Laxmi Apartments,31.75,5521,2,2,1,2,,New Property,2, Sector 99A Gurgaon,12,0,0,0,0,570.17,,575,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,16,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575077
Satya The Hermitage,93,6404,2,3,3,3,East,Relatively New,2, Sector 103 Gurgaon,11,1,0,0,0,1452,,,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,53,1,1,0,0,0,1,1,1,1,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0.014522174
Smart World Gems,120,8432,3,3,2,2,North-East,New Property,3, Sector 89 Gurgaon,4,0,0,0,0,1423,,,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,28,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014231499
GLS Arawali Homes,30,4687,2,2,2,4,,Relatively New,2, Sohna,13,0,0,0,0,640,,,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.006400683
